,run,run_id,PoliceAgentpagents,Pickpocketpagents,Robberpagents,Workerpagents,crowdeffectCriminal,pinformationCriminal,pinformationWorker,actdecisionrulePickpocket,actdecisionruleRobber,crimerate,deviationhlower,deviationhupper,deviationhmean,deviationcrimelower,deviationcrimeupper,deviationcrimemean,crimeraterobbery,crimeratepickpocketing,deviationcrimerate,ranking,actdecisionruleCriminal
0,1,f1f63388-93e3-47a7-9f12-89f3283cda9c,10.0,10.0,5.0,75.0,1.0,1.0,50.0,1/np.log10(distance) * yesterday_visits * run_visits * mean_income * (1/yesterday_police) * (1/run_police),1/np.log10(distance) * (1/yesterday_visits) * (1/run_visits) * mean_income * (1/yesterday_police) * (1/run_police),52142.857142857145,0.67,1.33,1.0172750977981142,-140.14,239.64,49.752302017220245,2808,22685,26649.86,25.38478855750918,Logarithmic weighted distance
1,2,c1ce44ad-1af7-4c5f-bd0b-8af17c31bf15,2.0,4.0,8.0,86.0,1.0,1.0,50.0,,,170333.33333333334,0.68,1.37,1.0172750977981142,65.02,222.07,143.5404899758424,2808,22685,144840.33,72.27888253682026,Linearly weighted distance
2,3,17800f9b-b4fd-477e-a551-794baa9b0c55,2.0,4.0,5.0,89.0,1.0,1.0,50.0,,,219000.0,0.59,1.27,1.0172750977981142,96.15,216.39,156.26725247913706,2808,22685,193507.0,78.64226378846759,Linearly weighted distance
3,4,364e913c-d194-4206-91da-cc5a50c52125,2.0,4.0,2.0,92.0,1.0,1.0,50.0,,,158166.66666666666,0.7,1.39,1.0172750977981142,93.55,226.48,160.0114347392822,2808,22685,132673.67,80.51435491854016,Linearly weighted distance
4,5,b155afc7-5669-4434-9cde-c7ba263b3422,2.0,14.0,2.0,82.0,1.0,1.0,50.0,,,316333.3333333333,0.65,1.32,1.0172750977981142,142.04,232.95,187.49540029447138,2808,22685,290840.33,94.25633769613475,Linearly weighted distance
5,6,c52c9690-6efe-484b-ae9d-bbfd57bccd84,2.0,2.0,2.0,94.0,1.0,1.0,50.0,,,85166.66666666667,0.69,1.35,1.0172750977981142,36.45,378.76,207.60391161591355,2808,22685,59673.67,104.31059335685583,Linearly weighted distance
6,7,451089e7-c8a7-482c-ae8d-9b817fc8caf3,10.0,10.0,5.0,75.0,1.0,1.0,40.0,1/np.log10(distance) * yesterday_visits * run_visits * mean_income * (1/yesterday_police) * (1/run_police),1/np.log10(distance) * (1/yesterday_visits) * (1/run_visits) * mean_income * (1/yesterday_police) * (1/run_police),296562.5,0.71,1.38,1.0172750977981142,143.07,300.63,221.85147120672113,2808,22685,271069.5,111.43437315225962,Logarithmic weighted distance
7,8,97eacfa5-d525-447c-ba81-83c3a11ae569,2.0,8.0,2.0,88.0,1.0,1.0,50.0,,,219000.0,0.66,1.33,1.0172750977981142,167.19,291.68,229.43117270958177,2808,22685,193507.0,115.22422390368995,Linearly weighted distance
8,9,5800b706-63f2-4225-8df5-ed4fc6c9ca88,3.0,4.0,2.0,91.0,1.0,1.0,50.0,,,182500.0,0.68,1.37,1.0172750977981142,113.16,350.77,231.96785894740728,2808,22685,157007.0,116.4925670226027,Linearly weighted distance
9,10,3085d34e-0253-4851-8786-00e2bdb9c2ee,2.0,4.0,14.0,80.0,1.0,1.0,50.0,,,401499.99999999994,0.71,1.41,1.0172750977981142,165.86,315.38,240.62349037457716,2808,22685,376007.0,120.82038273618764,Linearly weighted distance
